task_id,split,type,pair_index,in_height,in_width,in_area,in_elongation,in_entropy,in_color_diversity,in_bg_ratio,in_comp_count,in_mean_comp_size,in_max_comp_size,in_mean_comp_elong,in_max_comp_elong,in_transition_density,out_height,out_width,out_area,out_elongation,out_entropy,out_color_diversity,out_bg_ratio,out_comp_count,out_mean_comp_size,out_max_comp_size,out_mean_comp_elong,out_max_comp_elong,out_transition_density,delta_area,delta_comp_count,delta_entropy,delta_color_diversity
00576224,train,train,0,2,2,4,1.0,2.0,4,0.0,4,1.0,1.0,1.0,1.0,1.0,6,6,36,1.0,2.0,4,0.0,36,1.0,1.0,1.0,1.0,1.0,32,32,0.0,0
00576224,train,train,1,2,2,4,1.0,1.5,3,0.0,3,1.3333333333333333,2.0,1.0,1.0,1.0,6,6,36,1.0,1.5,3,0.0,19,1.894736842105263,18.0,1.0,1.0,0.9,32,16,0.0,0
00576224,train,test,0,2,2,4,1.0,2.0,4,0.0,4,1.0,1.0,1.0,1.0,1.0,6,6,36,1.0,2.0,4,0.0,36,1.0,1.0,1.0,1.0,1.0,32,32,0.0,0
007bbfb7,train,train,0,3,3,9,1.0,0.9910760598382222,1,0.4444444444444444,1,5.0,5.0,1.0,1.0,0.5833333333333334,9,9,81,1.0,0.8915996278279094,1,0.691358024691358,1,25.0,25.0,1.0,1.0,0.3819444444444444,72,0,-0.09947643201031287,0
007bbfb7,train,train,1,3,3,9,1.0,0.9182958340544896,1,0.6666666666666666,3,1.0,1.0,1.0,1.0,0.5833333333333334,9,9,81,1.0,0.5032583347756457,1,0.8888888888888888,9,1.0,1.0,1.0,1.0,0.2013888888888889,72,6,-0.4150374992788438,0
007bbfb7,train,train,2,3,3,9,1.0,0.9182958340544896,1,0.6666666666666666,2,1.5,2.0,1.5,2.0,0.4166666666666667,9,9,81,1.0,0.5032583347756457,1,0.8888888888888888,6,1.5,2.0,1.5,2.0,0.14583333333333334,72,4,-0.4150374992788438,0
007bbfb7,train,train,3,3,3,9,1.0,0.9910760598382222,1,0.4444444444444444,2,2.5,3.0,2.5,3.0,0.5,9,9,81,1.0,0.8915996278279094,1,0.691358024691358,7,3.5714285714285716,9.0,3.5714285714285716,9.0,0.3194444444444444,72,5,-0.09947643201031287,0
007bbfb7,train,train,4,3,3,9,1.0,0.7642045065086203,1,0.2222222222222222,1,7.0,7.0,1.0,1.0,0.3333333333333333,9,9,81,1.0,0.9679884922470297,1,0.3950617283950617,1,49.0,49.0,1.0,1.0,0.2916666666666667,72,0,0.2037839857384094,0
007bbfb7,train,test,0,3,3,9,1.0,0.9182958340544896,1,0.3333333333333333,1,6.0,6.0,1.0,1.0,0.5833333333333334,9,9,81,1.0,0.9910760598382222,1,0.5555555555555556,1,36.0,36.0,1.0,1.0,0.4513888888888889,72,0,0.07278022578373267,0
009d5c81,train,train,0,14,14,196,1.0,0.8196167292349401,2,0.8112244897959183,2,18.5,31.0,1.125,1.25,0.21153846153846154,14,14,196,1.0,0.6298973391532046,1,0.8418367346938775,1,31.0,31.0,1.25,1.25,0.16758241758241757,0,-1,-0.18971939008173555,-1
