task_id,pair_type,pair_idx,grid_type,matrix_cluster,distance_to_centroid
6ffe8f07,train,1,input,0,1.2203991887874404
845d6e51,train,1,output,0,1.2907510464207466
776ffc46,test,0,input,0,1.3201258382854115
776ffc46,test,0,output,0,1.3201258382854115
845d6e51,train,0,output,0,1.3960146984210209
845d6e51,train,1,input,0,1.4149976518820597
845d6e51,train,0,input,0,1.5116339269820005
f3b10344,test,0,input,0,1.5127552938406905
6ffe8f07,train,3,input,0,1.5408934137070776
845d6e51,test,0,output,0,1.5797763526989304
2753e76c,test,0,input,0,1.6153611356286355
81c0276b,train,1,input,0,1.6687695882759357
0607ce86,train,2,input,0,1.6721248402530464
2753e76c,train,2,input,0,1.7116663439311293
d304284e,train,1,output,0,1.735096877518629
e78887d1,train,3,input,0,1.8219386676140865
1e32b0e9,test,0,output,0,1.897572636381455
845d6e51,test,0,input,0,1.9002891337956551
2753e76c,train,0,input,0,1.9064996256717017
93c31fbe,train,0,output,0,1.9101039830837474
5b526a93,train,0,output,0,1.9223035605361576
93c31fbe,train,1,output,0,1.9479989211503272
97239e3d,test,0,input,0,1.9516796852442635
93c31fbe,train,0,input,0,1.9624453093306007
93c31fbe,train,2,input,0,1.9672734383986545
0607ce86,train,2,output,0,1.9676878978114198
3490cc26,train,1,input,0,1.9694104869234994
3490cc26,test,0,input,0,1.9694104869234994
42f83767,test,0,input,0,1.976218959452146
81c0276b,train,2,input,0,1.988112379583706
3490cc26,train,2,input,0,2.0116871220473
a096bf4d,train,2,input,0,2.0192550343284403
1e32b0e9,train,1,output,0,2.019393996269178
0d87d2a6,test,0,input,0,2.042730100189434
a096bf4d,train,2,output,0,2.060384513282372
f3b10344,train,2,input,0,2.0753688442790628
1e32b0e9,train,0,output,0,2.085020883551573
bd14c3bf,test,0,input,0,2.097615487218169
bd14c3bf,test,0,output,0,2.097615487218169
bd14c3bf,train,2,input,0,2.10099579646303
bd14c3bf,train,2,output,0,2.10099579646303
81c0276b,train,0,input,0,2.1018860252404754
93c31fbe,train,1,input,0,2.116649925689736
5adee1b2,test,0,output,0,2.132704492401788
e734a0e8,test,0,output,0,2.1479407773229435
c64f1187,test,0,output,0,2.151598960092928
5b6cbef5,test,0,output,0,2.154793992729866
97239e3d,train,2,input,0,2.181363989194648
97239e3d,train,0,input,0,2.1838939768245003
4e45f183,test,0,input,0,2.191002314569045
4e45f183,test,0,output,0,2.191002314569045
dc2aa30b,train,0,output,0,2.2277960444282994
e734a0e8,train,1,output,0,2.2310497727219403
bb52a14b,test,0,output,0,2.2575541061702675
7d1f7ee8,test,0,output,0,2.2649044686462636
e734a0e8,test,0,input,0,2.2953526233243458
dc2aa30b,train,2,output,0,2.308032399919919
dc2aa30b,test,0,input,0,2.315592154880351
dc2aa30b,test,0,output,0,2.315592154880351
6ffe8f07,test,1,input,0,2.3250031494027783
18286ef8,train,2,input,0,2.335651939252443
18286ef8,train,2,output,0,2.335651939252443
fafd9572,train,1,input,0,2.345982373505805
fafd9572,train,1,output,0,2.345982373505805
e734a0e8,train,1,input,0,2.3500499094083027
456873bc,train,1,output,0,2.358908968775123
42918530,train,2,input,0,2.365666648997883
42918530,train,2,output,0,2.371935336944656
bb52a14b,test,0,input,0,2.3733405712378755
dc2aa30b,train,1,input,0,2.3834596274060225
dc2aa30b,train,1,output,0,2.3834596274060225
2faf500b,test,0,output,0,2.383807695118814
d304284e,train,0,output,0,2.3857024284580155
dc2aa30b,train,0,input,0,2.4066489225604872
e509e548,train,1,output,0,2.420758041568679
817e6c09,train,4,output,0,2.4290065431964076
c64f1187,train,0,output,0,2.4323640395460964
5b526a93,train,1,output,0,2.437494632451051
e78887d1,test,0,input,0,2.451412255474324
18286ef8,train,0,input,0,2.4516536100653292
18286ef8,train,0,output,0,2.4516536100653292
045e512c,train,0,output,0,2.46336542963597
dc2e9a9d,test,0,output,0,2.4671916952342885
bd14c3bf,train,0,input,0,2.4680354600941725
bd14c3bf,train,0,output,0,2.4680354600941725
776ffc46,train,0,input,0,2.4841410881332444
776ffc46,train,0,output,0,2.4841410881332444
4e45f183,train,2,input,0,2.4875128085935385
4e45f183,train,2,output,0,2.4875128085935385
33067df9,train,2,output,0,2.4989389258914545
dc2aa30b,train,2,input,0,2.5000342038499275
97239e3d,train,1,input,0,2.529372574572116
045e512c,test,0,output,0,2.546474570345997
7d1f7ee8,test,0,input,0,2.565419616858889
2faf500b,test,0,input,0,2.573109049085902
137f0df0,test,0,input,0,2.5748177165948296
