task_id,average_lines,is_line_dominant
ea32f347,2.8,1
6773b310,2.0,1
8597cfd7,1.6,1
9def23fe,2.0,1
29623171,4.0,1
264363fd,9.375,1
8719f442,2.75,1
d364b489,0.0,0
44f52bb0,0.3125,0
50a16a69,0.75,0
8e301a54,5.75,1
8dab14c2,7.6875,1
aaef0977,0.3333333333333333,0
b7cb93ac,2.5,1
e2092e0c,4.25,1
2dd70a9a,9.125,1
0692e18c,0.25,0
963e52fc,0.0,0
11852cab,0.0,0
8a371977,11.0,1
25d487eb,4.0,1
e3fe1151,2.125,1
5b6cbef5,6.416666666666667,1
846bdb03,4.5,1
96a8c0cd,14.8,1
6c434453,9.0,1
ad173014,28.5,1
2bee17df,6.75,1
9dfd6313,0.0,0
2753e76c,0.875,0
7ddcd7ec,0.0,0
9caba7c3,43.0,1
444801d8,7.25,1
e9c9d9a1,5.875,1
bc4146bd,4.6,1
f3e62deb,4.0,1
f76d97a5,2.625,1
a406ac07,2.0,1
9841fdad,15.833333333333334,1
465b7d93,7.0,1
bd14c3bf,28.25,1
e3497940,3.0,1
7b6016b9,10.25,1
5e6bbc0b,1.0,1
d10ecb37,1.25,1
b0722778,0.0,0
e48d4e1a,2.2,1
902510d5,1.2,1
5daaa586,6.5,1
8abad3cf,5.5,1
c48954c1,0.625,0
8ee62060,0.0,0
e6721834,8.625,1
69889d6e,0.5,0
48634b99,16.125,1
1da012fc,13.0,1
a87f7484,1.8,1
a5313dff,9.25,1
e619ca6e,0.75,0
64a7c07e,1.5,1
310f3251,0.0,0
67a3c6ac,2.25,1
df8cc377,9.0,1
f9a67cb5,9.5,1
9f5f939b,15.0,1
45737921,4.5,1
a48eeaf7,0.0,0
753ea09b,66.625,1
9565186b,2.1,1
3befdf3e,6.0,1
1990f7a8,5.0,1
e99362f0,4.785714285714286,1
e7b06bea,2.0,1
a834deea,4.0,1
668eec9a,9.375,1
396d80d7,3.6666666666666665,1
7447852a,1.0,1
0a1d4ef5,12.5,1
99b1bc43,2.3,1
cf98881b,3.6666666666666665,1
662c240a,2.6,1
e78887d1,7.9,1
5289ad53,5.2,1
b94a9452,2.0,1
7f4411dc,0.875,0
ce9e57f2,4.0,1
4290ef0e,17.875,1
8be77c9e,0.625,0
ecb67b6d,24.5,1
ff805c23,26.375,1
d19f7514,3.4,1
0e671a1a,1.7,1
f15e1fac,5.375,1
db93a21d,2.6,1
99306f82,9.0,1
d0f5fe59,2.0,1
85fa5666,0.0,0
09629e4f,4.0,1
