task_id,split,pair_idx,grid_height,grid_width,num_shapes,bg_color,pixel_change_rate,shape_change_rate
08ed6ac7,train,1,9,9,4,0,1.0,1.0
08ed6ac7,test,0,9,9,4,0,1.0,1.0
0a2355a6,train,0,14,14,4,0,1.0,1.0
0a2355a6,train,1,14,11,4,0,1.0,1.0
0a2355a6,train,2,15,14,4,0,1.0,1.0
0a2355a6,train,3,9,11,3,0,1.0,1.0
0a2355a6,test,0,15,17,4,0,1.0,1.0
150deff5,train,0,8,10,1,0,1.0,1.0
150deff5,train,1,9,11,1,0,1.0,1.0
150deff5,train,2,8,9,1,0,1.0,1.0
150deff5,test,0,8,11,1,0,1.0,1.0
15663ba9,train,0,12,15,3,0,0.4074074074074074,1.0
15663ba9,train,1,13,13,2,0,0.4090909090909091,1.0
15663ba9,train,2,14,16,2,0,0.41379310344827586,1.0
15663ba9,test,0,15,16,3,0,0.42105263157894735,1.0
1acc24af,train,0,12,12,5,0,0.38461538461538464,0.6
1acc24af,train,1,12,12,4,0,0.3103448275862069,0.5
1acc24af,train,2,12,12,5,0,0.25,0.4
1acc24af,train,3,12,12,3,0,0.17391304347826086,0.3333333333333333
1acc24af,test,0,12,12,5,0,0.3333333333333333,0.6
292dd178,train,0,7,9,1,1,0.1346153846153846,1.0
2a5f8217,train,1,6,6,2,0,0.5,0.5
37d3e8b2,train,0,17,17,6,0,1.0,1.0
37d3e8b2,train,1,19,17,5,0,1.0,1.0
37d3e8b2,train,2,17,16,4,0,1.0,1.0
37d3e8b2,test,0,17,18,5,0,1.0,1.0
3bd292e8,train,1,7,7,2,2,1.0,1.0
409aa875,train,1,16,16,1,0,0.025210084033613446,1.0
41e4d17e,train,1,15,15,2,1,0.11961722488038277,1.0
4e7e0eb9,train,2,9,9,4,0,0.75,0.75
4f537728,train,1,20,20,49,0,0.24489795918367346,0.24489795918367346
50cb2852,train,0,12,11,2,0,0.23529411764705882,1.0
50cb2852,train,1,13,15,3,0,0.3783783783783784,1.0
50cb2852,train,2,12,13,3,0,0.3333333333333333,1.0
50cb2852,test,0,14,13,4,0,0.3548387096774194,1.0
516b51b7,train,0,12,13,2,0,0.47692307692307695,1.0
516b51b7,train,1,12,11,3,0,0.3090909090909091,1.0
516b51b7,train,2,15,14,2,0,0.5151515151515151,1.0
516b51b7,test,0,15,17,3,0,0.5036496350364964,1.0
626c0bcc,train,0,7,7,1,0,1.0,1.0
626c0bcc,train,1,7,7,1,0,1.0,1.0
626c0bcc,train,2,7,7,1,0,1.0,1.0
626c0bcc,test,0,7,7,1,0,1.0,1.0
63613498,train,0,10,10,6,0,0.13043478260869565,0.16666666666666666
639f5a19,train,0,23,23,2,0,1.0,1.0
639f5a19,train,1,23,23,2,0,1.0,1.0
639f5a19,test,0,23,23,3,0,1.0,1.0
67385a82,train,3,3,3,1,0,0.6,1.0
694f12f3,train,0,10,10,2,0,0.2972972972972973,1.0
694f12f3,train,1,10,10,2,0,0.3,1.0
694f12f3,test,0,10,10,2,0,0.37037037037037035,1.0
776ffc46,train,0,20,20,8,0,0.1875,0.25
776ffc46,train,1,20,20,6,0,0.2857142857142857,0.3333333333333333
776ffc46,train,2,20,20,8,0,0.11392405063291139,0.125
776ffc46,train,3,20,20,6,0,0.19230769230769232,0.3333333333333333
776ffc46,test,0,20,20,11,0,0.09259259259259259,0.18181818181818182
7d1f7ee8,train,2,12,18,4,0,0.41025641025641024,0.75
7ec998c9,train,0,8,8,1,9,0.2222222222222222,1.0
7ec998c9,train,1,5,5,1,8,0.3333333333333333,1.0
7ec998c9,train,2,7,7,1,4,0.25,1.0
7ec998c9,test,0,7,7,1,6,0.25,1.0
817e6c09,train,0,7,7,2,0,0.6666666666666666,1.0
817e6c09,train,1,7,14,5,0,0.5,0.6
817e6c09,train,2,7,15,7,0,0.5714285714285714,0.5714285714285714
817e6c09,train,3,7,5,2,0,0.5,0.5
