task_id,subset,pair_type,pair_idx,grid_type,4_SameColor_count,4_SameColor_mean_size,4_SameColor_max_size,4_SameColor_mean_elong,4_SameColor_max_elong,4_NonBG_count,4_NonBG_mean_size,4_NonBG_max_size,4_NonBG_mean_elong,4_NonBG_max_elong,8_SameColor_count,8_SameColor_mean_size,8_SameColor_max_size,8_SameColor_mean_elong,8_SameColor_max_elong,8_NonBG_count,8_NonBG_mean_size,8_NonBG_max_size,8_NonBG_mean_elong,8_NonBG_max_elong,color_diversity,border_touching_ratio
00576224,Training,train,0,input,0,0.0,0.0,1.0,1.0,1,4.0,4.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,4.0,4.0,1.0,1.0,0.0,0.0
00576224,Training,train,0,output,0,0.0,0.0,1.0,1.0,1,36.0,36.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,36.0,36.0,1.0,1.0,0.0,0.0
00576224,Training,train,1,input,0,0.0,0.0,1.0,1.0,1,4.0,4.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,4.0,4.0,1.0,1.0,0.0,0.0
00576224,Training,train,1,output,0,0.0,0.0,1.0,1.0,1,36.0,36.0,1.0,1.0,1,18.0,18.0,1.0,1.0,1,36.0,36.0,1.0,1.0,1.0,1.0
00576224,Training,test,0,input,0,0.0,0.0,1.0,1.0,1,4.0,4.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,4.0,4.0,1.0,1.0,0.0,0.0
00576224,Training,test,0,output,0,0.0,0.0,1.0,1.0,1,36.0,36.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,36.0,36.0,1.0,1.0,0.0,0.0
007bbfb7,Training,train,0,input,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1,5.0,5.0,1.0,1.0,1,5.0,5.0,1.0,1.0,1.0,1.0
007bbfb7,Training,train,0,output,1,5.0,5.0,1.0,1.0,1,5.0,5.0,1.0,1.0,1,25.0,25.0,1.0,1.0,1,25.0,25.0,1.0,1.0,1.0,1.0
007bbfb7,Training,train,1,input,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
007bbfb7,Training,train,1,output,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0
