Configuration,Num_Features,mrr,top1,top5,top10,io_acc
Full Baseline (22 dims),22,0.6862282556930467,0.5936739659367397,0.805352798053528,0.8661800486618005,0.2663316582914573
Only Count Features,4,0.23089103985432655,0.14963503649635038,0.3102189781021898,0.39902676399026765,0.06030150753768844
Only Size Features,8,0.4974486342364952,0.3759124087591241,0.6326034063260341,0.754257907542579,0.17587939698492464
Only Elongation Features,8,0.3778329362834513,0.2895377128953771,0.45498783454987834,0.5559610705596107,0.13819095477386933
Only Auxiliary Features,2,0.18014080787112483,0.09002433090024331,0.26277372262773724,0.36982968369829683,0.035175879396984924
Without Count Features,18,0.65444813714672,0.5571776155717761,0.7798053527980535,0.8527980535279805,0.24371859296482412
Without Size Features,14,0.5516077814823064,0.4489051094890511,0.6800486618004866,0.767639902676399,0.19095477386934673
Without Elongation Features,14,0.594356068649248,0.48661800486618007,0.7201946472019465,0.8223844282238443,0.228643216080402
Without Auxiliary Features,20,0.6173332271345254,0.5158150851581509,0.7347931873479319,0.8150851581508516,0.23869346733668342
4-Connectivity Only,10,0.5921948887991743,0.4927007299270073,0.7092457420924574,0.8029197080291971,0.24371859296482412
8-Connectivity Only,12,0.673083042996063,0.5754257907542579,0.8004866180048662,0.8686131386861314,0.24371859296482412
Same-Color Only,12,0.6269615974670054,0.537712895377129,0.7250608272506083,0.8004866180048662,0.23869346733668342
Non-Background Only,10,0.5017470921199496,0.40632603406326034,0.6228710462287105,0.708029197080292,0.2562814070351759
