task_id,split,type,pair_index,in_height,in_width,in_area,in_elongation,in_entropy,in_color_diversity,in_bg_ratio,in_comp_count,in_mean_comp_size,in_max_comp_size,in_mean_comp_elong,in_max_comp_elong,in_transition_density,out_height,out_width,out_area,out_elongation,out_entropy,out_color_diversity,out_bg_ratio,out_comp_count,out_mean_comp_size,out_max_comp_size,out_mean_comp_elong,out_max_comp_elong,out_transition_density,delta_area,delta_comp_count,delta_entropy,delta_color_diversity
007bbfb7,train,train,0,3,3,9,1.0,0.7642045065086203,1,0.2222222222222222,1,7.0,7.0,1.0,1.0,0.3333333333333333,9,9,81,1.0,0.9679884922470297,1,0.3950617283950617,1,49.0,49.0,1.0,1.0,0.2916666666666667,72,0,0.2037839857384094,0
007bbfb7,train,train,1,3,3,9,1.0,0.9182958340544896,1,0.6666666666666666,3,1.0,1.0,1.0,1.0,0.5833333333333334,9,9,81,1.0,0.5032583347756457,1,0.8888888888888888,9,1.0,1.0,1.0,1.0,0.2013888888888889,72,6,-0.4150374992788438,0
007bbfb7,train,train,2,3,3,9,1.0,0.9182958340544896,1,0.6666666666666666,2,1.5,2.0,1.5,2.0,0.4166666666666667,9,9,81,1.0,0.5032583347756457,1,0.8888888888888888,6,1.5,2.0,1.5,2.0,0.14583333333333334,72,4,-0.4150374992788438,0
007bbfb7,train,train,3,3,3,9,1.0,0.9910760598382222,1,0.4444444444444444,1,5.0,5.0,1.0,1.0,0.5833333333333334,9,9,81,1.0,0.8915996278279094,1,0.691358024691358,1,25.0,25.0,1.0,1.0,0.3819444444444444,72,0,-0.09947643201031287,0
007bbfb7,train,train,4,3,3,9,1.0,0.9910760598382222,1,0.4444444444444444,2,2.5,3.0,2.5,3.0,0.5,9,9,81,1.0,0.8915996278279094,1,0.691358024691358,7,3.5714285714285716,9.0,3.5714285714285716,9.0,0.3194444444444444,72,5,-0.09947643201031287,0
007bbfb7,train,test,0,3,3,9,1.0,0.9182958340544896,1,0.3333333333333333,1,6.0,6.0,1.0,1.0,0.5833333333333334,9,9,81,1.0,0.9910760598382222,1,0.5555555555555556,1,36.0,36.0,1.0,1.0,0.4513888888888889,72,0,0.07278022578373267,0
00d62c1b,train,train,0,6,6,36,1.0,0.6500224216483541,1,0.8333333333333334,1,6.0,6.0,1.0,1.0,0.4,6,6,36,1.0,0.9444885341662053,2,0.7777777777777778,2,4.0,6.0,1.0,1.0,0.4,0,1,0.29446611251785115,1
00d62c1b,train,train,1,10,10,100,1.0,0.6098403047164004,1,0.85,1,15.0,15.0,1.1666666666666667,1.1666666666666667,0.26666666666666666,10,10,100,1.0,0.6882759652992883,2,0.84,2,8.0,15.0,1.0833333333333335,1.1666666666666667,0.26666666666666666,0,1,0.07843566058288787,1
00d62c1b,train,train,2,10,10,100,1.0,0.7601675029619657,1,0.78,1,22.0,22.0,1.0,1.0,0.35555555555555557,10,10,100,1.0,1.1626061083677746,2,0.69,3,10.333333333333334,22.0,1.3333333333333333,2.0,0.35555555555555557,0,2,0.4024386054058089,1
00d62c1b,train,train,3,10,10,100,1.0,0.8687212463394045,1,0.71,1,29.0,29.0,1.125,1.125,0.35555555555555557,10,10,100,1.0,1.165404872675964,2,0.65,4,8.75,29.0,1.03125,1.125,0.35555555555555557,0,3,0.29668362633655954,1
00d62c1b,train,train,4,20,20,400,1.0,0.651953759786222,1,0.8325,8,8.375,49.0,1.03125,1.25,0.20789473684210527,20,20,400,1.0,1.0238404581276304,2,0.755,12,8.166666666666666,49.0,1.0625,1.5,0.20789473684210527,0,4,0.3718866983414083,1
00d62c1b,train,test,0,20,20,400,1.0,0.7118146702143195,1,0.805,3,26.0,58.0,1.38034188034188,1.5,0.23684210526315788,20,20,400,1.0,1.0956564366427735,2,0.7225,11,10.090909090909092,58.0,1.7552447552447552,4.0,0.23684210526315788,0,8,0.3838417664284539,1
017c7c7b,train,train,0,6,3,18,2.0,1.0,1,0.5,1,9.0,9.0,2.0,2.0,0.5185185185185185,9,3,27,3.0,0.9990102708804813,1,0.5185185185185185,1,13.0,13.0,3.0,3.0,0.5238095238095238,9,0,-0.0009897291195186675,0
017c7c7b,train,train,1,6,3,18,2.0,1.0,1,0.5,1,9.0,9.0,2.0,2.0,1.0,9,3,27,3.0,0.9990102708804813,1,0.5185185185185185,1,13.0,13.0,3.0,3.0,1.0,9,0,-0.0009897291195186675,0
017c7c7b,train,train,2,6,3,18,2.0,0.9910760598382222,1,0.5555555555555556,1,8.0,8.0,3.0,3.0,0.5185185185185185,9,3,27,3.0,0.9910760598382222,1,0.5555555555555556,1,12.0,12.0,4.5,4.5,0.5,9,0,0.0,0
017c7c7b,train,test,0,6,3,18,2.0,0.9910760598382222,1,0.4444444444444444,1,10.0,10.0,2.0,2.0,0.5185185185185185,9,3,27,3.0,0.9910760598382222,1,0.4444444444444444,1,15.0,15.0,3.0,3.0,0.5238095238095238,9,0,0.0,0
025d127b,train,train,0,14,9,126,1.5555555555555556,0.7853821600685436,2,0.8412698412698413,2,10.0,12.0,1.2666666666666666,1.3333333333333333,0.2445414847161572,14,9,126,1.5555555555555556,0.7853821600685436,2,0.8412698412698413,2,10.0,12.0,1.0,1.0,0.2096069868995633,0,0,0.0,0
025d127b,train,train,1,8,9,72,1.125,0.7642045065086203,1,0.7777777777777778,1,16.0,16.0,1.6,1.6,0.33070866141732286,8,9,72,1.125,0.7642045065086203,1,0.7777777777777778,1,16.0,16.0,1.4,1.4,0.29133858267716534,0,0,0.0,0
025d127b,train,test,0,10,10,100,1.0,0.6800770457282799,1,0.82,1,18.0,18.0,1.8,1.8,0.25555555555555554,10,10,100,1.0,0.6800770457282799,1,0.82,1,18.0,18.0,1.6,1.6,0.22777777777777777,0,0,0.0,0
045e512c,train,train,0,21,21,441,1.0,0.2479564558471434,3,0.9682539682539683,3,4.666666666666667,8.0,2.3333333333333335,3.0,0.0380952380952381,21,21,441,1.0,0.7330853336895227,3,0.873015873015873,7,8.0,8.0,1.0,1.0,0.1261904761904762,0,4,0.48512887784237924,0
045e512c,train,train,1,21,21,441,1.0,0.15443010077042602,3,0.981859410430839,4,2.0,5.0,1.0,1.0,0.02857142857142857,21,21,441,1.0,0.535454123469244,3,0.9160997732426304,8,4.625,5.0,1.1875,1.5,0.09642857142857143,0,4,0.381024022698818,0
045e512c,train,train,2,21,21,441,1.0,0.20416412485466717,3,0.9750566893424036,3,3.6666666666666665,6.0,1.0,1.0,0.0380952380952381,21,21,441,1.0,0.4826042731621105,3,0.927437641723356,6,5.333333333333333,6.0,1.1666666666666667,1.5,0.0988095238095238,0,3,0.27844014830744335,0
045e512c,train,test,0,21,21,441,1.0,0.2763637397186606,4,0.9659863945578231,4,3.75,7.0,2.25,3.0,0.04523809523809524,21,21,441,1.0,0.8090014129714567,4,0.8684807256235828,10,5.8,7.0,1.25,2.0,0.15357142857142858,0,6,0.5326376732527961,0
0520fde7,train,train,0,3,7,21,2.3333333333333335,1.4180260055608094,2,0.5238095238095238,3,3.3333333333333335,4.0,2.0,3.0,0.65625,3,3,9,1.0,0.5032583347756457,1,0.8888888888888888,1,1.0,1.0,1.0,1.0,0.3333333333333333,-12,-2,-0.9147676707851636,-1
0520fde7,train,train,1,3,7,21,2.3333333333333335,1.4411665441579466,2,0.38095238095238093,3,4.333333333333333,5.0,1.6666666666666667,3.0,0.71875,3,3,9,1.0,0.9182958340544896,1,0.6666666666666666,1,3.0,3.0,1.5,1.5,0.75,-12,-2,-0.5228707101034571,-1
0520fde7,train,train,2,3,7,21,2.3333333333333335,1.4488156357251847,2,0.42857142857142855,4,3.0,5.0,2.0,3.0,0.625,3,3,9,1.0,0.7642045065086203,1,0.7777777777777778,2,1.0,1.0,1.0,1.0,0.4166666666666667,-12,-2,-0.6846111292165644,-1
0520fde7,train,test,0,3,7,21,2.3333333333333335,1.4411665441579466,2,0.38095238095238093,3,4.333333333333333,5.0,1.6666666666666667,3.0,0.84375,3,3,9,1.0,0.7642045065086203,1,0.7777777777777778,2,1.0,1.0,1.0,1.0,0.3333333333333333,-12,-1,-0.6769620376493264,-1
05269061,train,train,0,7,7,49,1.0,0.7150308246386026,3,0.8775510204081632,3,2.0,3.0,1.0,1.0,0.14285714285714285,7,7,49,1.0,1.5843655930691722,3,0.0,13,3.769230769230769,7.0,1.0,1.0,1.0,0,10,0.8693347684305697,0
05269061,train,train,1,7,7,49,1.0,1.1838057113627303,3,0.7551020408163265,3,4.0,5.0,1.0,1.0,0.3333333333333333,7,7,49,1.0,1.5843655930691722,3,0.0,13,3.769230769230769,7.0,1.0,1.0,1.0,0,10,0.40055988170644197,0
05269061,train,train,2,7,7,49,1.0,1.3679108220483656,3,0.6938775510204082,3,5.0,6.0,1.0,1.0,0.5238095238095238,7,7,49,1.0,1.5843655930691722,3,0.0,13,3.769230769230769,7.0,1.0,1.0,1.0,0,10,0.21645477102080668,0
05269061,train,test,0,7,7,49,1.0,1.0622051509466475,3,0.7755102040816326,3,3.6666666666666665,7.0,1.0,1.0,0.42857142857142855,7,7,49,1.0,1.5843655930691722,3,0.0,13,3.769230769230769,7.0,1.0,1.0,1.0,0,10,0.5221604421225248,0
05f2a901,train,train,0,14,9,126,1.5555555555555556,0.4769976184274935,2,0.9206349206349206,2,5.0,6.0,1.5,2.0,0.09170305676855896,14,9,126,1.5555555555555556,0.4769976184274935,2,0.9206349206349206,2,5.0,6.0,1.5,2.0,0.08733624454148471,0,0,0.0,0
05f2a901,train,train,1,9,10,90,1.1111111111111112,0.7243876669242503,2,0.8555555555555555,2,6.5,9.0,1.1666666666666665,1.3333333333333333,0.13043478260869565,9,10,90,1.1111111111111112,0.7243876669242503,2,0.8555555555555555,2,6.5,9.0,1.1666666666666665,1.3333333333333333,0.13043478260869565,0,0,0.0,0
05f2a901,train,train,2,11,10,110,1.1,0.6597626133600722,2,0.8727272727272727,2,7.0,10.0,1.3333333333333335,1.6666666666666667,0.12060301507537688,11,10,110,1.1,0.6597626133600722,2,0.8727272727272727,2,7.0,10.0,1.3333333333333335,1.6666666666666667,0.11055276381909548,0,0,0.0,0
05f2a901,train,test,0,11,10,110,1.1,0.5277652227810288,2,0.9090909090909091,2,5.0,6.0,1.5,2.0,0.10050251256281408,11,10,110,1.1,0.5277652227810288,2,0.9090909090909091,2,5.0,6.0,1.5,2.0,0.09547738693467336,0,0,0.0,0
06df4c85,train,train,0,20,20,400,1.0,1.3500765458257251,4,0.43,7,32.57142857142857,204.0,1.0,1.0,0.4421052631578947,20,20,400,1.0,1.5126430906950323,4,0.38,12,20.666666666666668,204.0,1.0,1.0,0.4421052631578947,0,5,0.16256654486930722,0
06df4c85,train,train,1,23,23,529,1.0,1.377578067084391,5,0.42344045368620037,9,33.888888888888886,273.0,1.0,1.0,0.4426877470355731,23,23,529,1.0,1.6359677166521773,5,0.3553875236294896,18,18.944444444444443,273.0,1.0,1.0,0.4426877470355731,0,9,0.25838964956778643,0
06df4c85,train,train,2,23,23,529,1.0,1.261843401040256,3,0.43856332703213613,7,42.42857142857143,273.0,1.0,1.0,0.4426877470355731,23,23,529,1.0,1.4835671737190497,3,0.3705103969754253,16,20.8125,273.0,1.0,1.0,0.4426877470355731,0,9,0.22172377267879373,0
06df4c85,train,test,0,26,26,676,1.0,1.2331500177648076,4,0.4437869822485207,7,53.714285714285715,352.0,1.0,1.0,0.4430769230769231,26,26,676,1.0,1.4329547305625765,4,0.3905325443786982,16,25.75,352.0,1.0,1.0,0.4430769230769231,0,9,0.1998047127977689,0
08ed6ac7,train,train,0,9,9,81,1.0,0.9054522631867892,1,0.6790123456790124,4,6.5,9.0,6.5,9.0,0.3819444444444444,9,9,81,1.0,1.5155441786460135,4,0.6790123456790124,4,6.5,9.0,6.5,9.0,0.3819444444444444,0,0,0.6100919154592244,3
08ed6ac7,train,train,1,9,9,81,1.0,0.7858895831387682,1,0.7654320987654321,4,4.75,8.0,4.75,8.0,0.2916666666666667,9,9,81,1.0,1.2192350433979202,4,0.7654320987654321,4,4.75,8.0,4.75,8.0,0.2916666666666667,0,0,0.433345460259152,3
08ed6ac7,train,test,0,9,9,81,1.0,0.8607781176165942,1,0.7160493827160493,4,5.75,8.0,5.75,8.0,0.3472222222222222,9,9,81,1.0,1.4043079022870606,4,0.7160493827160493,4,5.75,8.0,5.75,8.0,0.3472222222222222,0,0,0.5435297846704664,3
09629e4f,train,train,0,11,11,121,1.0,2.425109531690389,6,0.30578512396694213,45,1.8666666666666667,40.0,1.0,1.0,0.7545454545454545,11,11,121,1.0,2.174005277090685,5,0.371900826446281,5,15.2,40.0,1.0,1.0,0.32727272727272727,0,-40,-0.2511042545997042,-1
09629e4f,train,train,1,11,11,121,1.0,2.425109531690389,6,0.30578512396694213,45,1.8666666666666667,40.0,1.0,1.0,0.75,11,11,121,1.0,2.174005277090685,5,0.371900826446281,5,15.2,40.0,1.0,1.0,0.32727272727272727,0,-40,-0.2511042545997042,-1
09629e4f,train,train,2,11,11,121,1.0,2.425109531690389,6,0.30578512396694213,45,1.8666666666666667,40.0,1.0,1.0,0.7727272727272727,11,11,121,1.0,2.174005277090685,5,0.371900826446281,5,15.2,40.0,1.0,1.0,0.32727272727272727,0,-40,-0.2511042545997042,-1
09629e4f,train,train,3,11,11,121,1.0,2.425109531690389,6,0.30578512396694213,45,1.8666666666666667,40.0,1.0,1.0,0.7454545454545455,11,11,121,1.0,2.174005277090685,5,0.371900826446281,5,15.2,40.0,1.0,1.0,0.32727272727272727,0,-40,-0.2511042545997042,-1
09629e4f,train,test,0,11,11,121,1.0,2.425109531690389,6,0.30578512396694213,45,1.8666666666666667,40.0,1.0,1.0,0.740909090909091,11,11,121,1.0,2.174005277090685,5,0.371900826446281,5,15.2,40.0,1.0,1.0,0.32727272727272727,0,-40,-0.2511042545997042,-1
0962bcdd,train,train,0,12,12,144,1.0,0.4139808936552185,2,0.9305555555555556,4,2.5,4.0,1.0,1.0,0.12121212121212122,12,12,144,1.0,1.0240345950973528,2,0.7638888888888888,4,8.5,9.0,1.0,1.0,0.3522727272727273,0,0,0.6100537014421343,0
0962bcdd,train,train,1,12,12,144,1.0,0.4139808936552185,2,0.9305555555555556,4,2.5,4.0,1.0,1.0,0.12121212121212122,12,12,144,1.0,1.0240345950973528,2,0.7638888888888888,4,8.5,9.0,1.0,1.0,0.3522727272727273,0,0,0.6100537014421343,0
0962bcdd,train,test,0,12,12,144,1.0,0.4139808936552185,2,0.9305555555555556,4,2.5,4.0,1.0,1.0,0.12121212121212122,12,12,144,1.0,1.0240345950973528,2,0.7638888888888888,4,8.5,9.0,1.0,1.0,0.3409090909090909,0,0,0.6100537014421343,0
0a938d79,train,train,0,10,25,250,2.5,0.07522154475830685,2,0.992,2,1.0,1.0,1.0,1.0,0.012903225806451613,10,25,250,2.5,1.3709505944546687,2,0.6,10,10.0,10.0,10.0,10.0,0.43010752688172044,0,8,1.2957290496963618,0
0a938d79,train,train,1,7,23,161,3.2857142857142856,0.10887718935553313,2,0.9875776397515528,2,1.0,1.0,1.0,1.0,0.02054794520547945,7,23,161,3.2857142857142856,1.0889252905968951,2,0.7391304347826086,6,7.0,7.0,7.0,7.0,0.2876712328767123,0,4,0.980048101241362,0
0a938d79,train,train,2,22,9,198,2.4444444444444446,0.09156303701607013,2,0.98989898989899,2,1.0,1.0,1.0,1.0,0.01643835616438356,22,9,198,2.4444444444444446,1.3814608545340696,2,0.5909090909090909,9,9.0,9.0,9.0,9.0,0.4191780821917808,0,7,1.2898978175179996,0
0a938d79,train,train,3,24,8,192,3.0,0.09395955497698899,2,0.9895833333333334,2,1.0,1.0,1.0,1.0,0.017045454545454544,24,8,192,3.0,0.9405662399881731,2,0.7916666666666666,5,8.0,8.0,8.0,8.0,0.20454545454545456,0,3,0.8466066850111842,0
0a938d79,train,test,0,11,27,297,2.4545454545454546,0.06499761388657363,2,0.9932659932659933,2,1.0,1.0,1.0,1.0,0.01079136690647482,11,27,297,2.4545454545454546,0.8710955350455423,2,0.8148148148148148,5,11.0,11.0,11.0,11.0,0.19784172661870503,0,3,0.8060979211589686,0
0b148d64,train,train,0,21,21,441,1.0,1.4587892706293952,2,0.4943310657596372,4,55.75,72.0,1.2063492063492065,1.4285714285714286,0.37023809523809526,10,10,100,1.0,0.8554508105601306,1,0.28,1,72.0,72.0,1.0,1.0,0.40555555555555556,-341,-3,-0.6033384600692646,-1
0b148d64,train,train,1,18,19,342,1.0555555555555556,1.274934339857606,2,0.6286549707602339,6,21.166666666666668,37.0,1.1587301587301588,1.5,0.33075734157650694,7,9,63,1.2857142857142858,0.977895682231035,1,0.4126984126984127,1,37.0,37.0,1.2857142857142858,1.2857142857142858,0.5,-279,-5,-0.2970386576265711,-1
0b148d64,train,train,2,19,17,323,1.1176470588235294,1.3527244109850618,2,0.5294117647058824,6,25.333333333333332,54.0,1.1587301587301588,1.5,0.3770491803278688,9,6,54,1.5,0.964078764808229,1,0.3888888888888889,3,11.0,31.0,1.1666666666666667,1.5,0.5161290322580645,-269,-3,-0.38864564617683284,-1
0b148d64,train,test,0,15,17,255,1.1333333333333333,1.2927408620363248,2,0.615686274509804,6,16.333333333333332,28.0,1.3333333333333333,1.8,0.3389121338912134,6,6,36,1.0,0.7642045065086203,1,0.2222222222222222,1,28.0,28.0,1.0,1.0,0.38333333333333336,-219,-5,-0.5285363555277045,-1
0ca9ddb6,train,train,0,9,9,81,1.0,0.19171816206991943,2,0.9753086419753086,2,1.0,1.0,1.0,1.0,0.05555555555555555,9,9,81,1.0,0.7518000586274344,4,0.8765432098765432,7,1.4285714285714286,4.0,1.0,1.0,0.25,0,5,0.560081896557515,2
0ca9ddb6,train,train,1,9,9,81,1.0,0.4282143112585446,3,0.9382716049382716,5,1.0,1.0,1.0,1.0,0.13194444444444445,9,9,81,1.0,1.3224001789770803,5,0.7407407407407407,15,1.4,4.0,1.0,1.0,0.4930555555555556,0,10,0.8941858677185357,2
0ca9ddb6,train,train,2,9,9,81,1.0,0.28724045879505233,3,0.9629629629629629,3,1.0,1.0,1.0,1.0,0.08333333333333333,9,9,81,1.0,0.8454078894753947,5,0.8641975308641975,8,1.375,4.0,1.0,1.0,0.2708333333333333,0,5,0.5581674306803424,2
0ca9ddb6,train,test,0,9,9,81,1.0,0.45290566928323606,4,0.9382716049382716,5,1.0,1.0,1.0,1.0,0.1388888888888889,9,9,81,1.0,1.179356175724131,6,0.7901234567901234,14,1.2142857142857142,4.0,1.0,1.0,0.4166666666666667,0,9,0.726450506440895,2
0d3d703e,train,train,0,3,3,9,1.0,1.584962500721156,3,0.0,3,3.0,3.0,3.0,3.0,0.5,3,3,9,1.0,1.584962500721156,3,0.0,3,3.0,3.0,3.0,3.0,0.5,0,0,0.0,0
0d3d703e,train,train,1,3,3,9,1.0,1.584962500721156,3,0.0,3,3.0,3.0,3.0,3.0,0.5,3,3,9,1.0,1.584962500721156,3,0.0,3,3.0,3.0,3.0,3.0,0.5,0,0,0.0,0
0d3d703e,train,train,2,3,3,9,1.0,1.584962500721156,3,0.0,3,3.0,3.0,3.0,3.0,0.5,3,3,9,1.0,1.584962500721156,3,0.0,3,3.0,3.0,3.0,3.0,0.5,0,0,0.0,0
0d3d703e,train,train,3,3,3,9,1.0,1.584962500721156,3,0.0,3,3.0,3.0,3.0,3.0,0.5,3,3,9,1.0,1.584962500721156,3,0.0,3,3.0,3.0,3.0,3.0,0.5,0,0,0.0,0
0d3d703e,train,test,0,3,3,9,1.0,1.584962500721156,3,0.0,3,3.0,3.0,3.0,3.0,0.5,3,3,9,1.0,1.584962500721156,3,0.0,3,3.0,3.0,3.0,3.0,0.5,0,0,0.0,0
0dfd9992,train,train,0,21,21,441,1.0,2.629319337674687,6,0.10430839002267574,200,1.975,4.0,1.0375,1.5,0.9238095238095239,21,21,441,1.0,2.392113839537481,6,0.0,210,2.1,4.0,1.0285714285714285,1.5,1.0,0,10,-0.23720549813720604,0
0dfd9992,train,train,1,21,21,441,1.0,2.8869559571531274,7,0.1360544217687075,222,1.7162162162162162,8.0,1.2064564564564566,2.0,0.775,21,21,441,1.0,2.6759343339111266,7,0.0,245,1.8,8.0,1.220408163265306,2.0,0.85,0,23,-0.2110216232420008,0
0dfd9992,train,train,2,21,21,441,1.0,2.4951830823546444,5,0.1655328798185941,253,1.4545454545454546,4.0,1.017786561264822,1.5,0.8714285714285714,21,21,441,1.0,2.2234847148021384,5,0.0,291,1.5154639175257731,4.0,1.0,1.0,1.0,0,38,-0.271698367552506,0
0dfd9992,train,test,0,21,21,441,1.0,2.991699215442039,7,0.12244897959183673,264,1.4659090909090908,8.0,1.1767676767676767,2.0,0.8333333333333334,21,21,441,1.0,2.797627798073341,7,0.0,287,1.5365853658536586,8.0,1.1881533101045296,2.0,0.9,0,23,-0.19407141736869793,0
0e206a2e,train,train,0,14,18,252,1.2857142857142858,0.5896529684757897,4,0.9126984126984127,14,1.5714285714285714,6.0,1.0,1.0,0.1419491525423729,14,18,252,1.2857142857142858,0.4394900798559952,4,0.9365079365079365,8,2.0,6.0,1.0,1.0,0.09110169491525423,0,-6,-0.15016288861979454,0
0e206a2e,train,train,1,14,15,210,1.0714285714285714,0.44188507534560195,4,0.9380952380952381,7,1.8571428571428572,7.0,1.0952380952380953,1.6666666666666667,0.09718670076726342,14,15,210,1.0714285714285714,0.3408039823835124,4,0.9523809523809523,4,2.5,7.0,1.1666666666666667,1.6666666666666667,0.06649616368286446,0,-3,-0.10108109296208956,0
