task_id,puzzle_cluster,num_grids
05269061,0,8
0a2355a6,0,10
0ca9ddb6,2,8
12422b43,4,12
13713586,4,8
137f0df0,0,8
14754a24,0,10
150deff5,3,8
17cae0c1,4,10
184a9768,4,8
1a2e2828,3,12
1ae2feb7,3,12
1b59e163,5,6
1c786137,1,8
1d61978c,5,6
1efba499,4,8
1f642eb9,4,8
2013d3e2,2,6
22233c11,0,8
239be575,2,16
23b5c85d,3,12
25094a63,1,6
271d71e2,1,8
2753e76c,0,8
2b01abd0,4,8
2f767503,5,8
319f2597,1,8
31aa019c,2,8
332efdb3,2,8
34cfa167,1,8
38007db0,1,8
3b4c2228,0,14
414297c0,5,8
42a50994,4,10
42f14c03,1,8
45737921,0,8
45bbe264,2,8
46442a0e,0,8
465b7d93,5,8
46c35fc7,5,8
470c91de,5,8
496994bd,3,6
4a1cacc2,5,10
4a21e3da,5,8
4c7dc4dd,1,8
4e34c42c,1,8
4e469f39,0,8
5034a0b5,3,10
505fff84,3,12
508bd3b6,4,8
50aad11f,0,8
50f325b5,1,10
52364a65,5,6
52df9849,1,8
54d82841,3,8
54dc2872,0,6
5614dbcf,0,6
5751f35e,5,6
581f7754,1,10
5a5a2103,1,6
5bd6f4ac,2,10
6165ea8f,4,10
63613498,0,8
662c240a,4,10
66ac4c3b,1,6
67636eac,0,8
67a3c6ac,3,8
67e490f4,1,6
695367ec,2,8
69889d6e,2,10
6a11f6da,3,12
6d1d5c90,3,8
705a3229,2,10
71e489b6,5,10
72207abc,2,8
75b8110e,0,12
780d0b14,2,8
7acdf6d3,5,6
7b80bb43,1,6
7c66cb00,1,8
7c8af763,3,8
7e02026e,5,8
7e2bad24,4,10
7f4411dc,0,8
80214e03,2,8
80a900e0,5,6
825aa9e9,3,10
82819916,4,10
85c4e7cd,0,10
88e364bc,5,10
891232d6,4,10
896d5239,0,8
8abad3cf,3,6
8b9c3697,1,8
90f3ed37,4,8
91413438,2,10
963e52fc,4,8
97a05b5b,5,8
98c475bf,3,10
98cf29f8,5,8
99b1bc43,3,10
9b5080bb,1,8
9ba4a9aa,1,8
9f27f097,5,8
a25697e4,1,10
a2d730bd,5,8
a32d8b75,1,10
a6953f00,2,8
a78176bb,0,8
a79310a0,2,8
aa18de87,3,10
aabf363d,0,6
abc82100,3,10
ac0c5833,0,8
ad3b40cf,1,8
ad7e01d0,3,10
b0039139,4,12
b0f4d537,3,10
b20f7c8b,1,8
b2862040,5,10
b94a9452,0,8
b9630600,0,8
ba1aa698,1,8
c3202e5a,5,8
c3e719e8,2,8
c803e39c,4,8
c87289bb,4,10
c9680e90,3,8
cb2d8a2c,1,12
cf133acc,4,8
d749d46f,4,8
d90796e8,2,8
d93c6891,1,8
db695cfb,5,12
dc2e9a9d,0,8
dd6b8c4b,1,10
de1cd16c,2,10
e3721c99,4,8
e40b9e2f,0,8
e48d4e1a,2,10
e4941b18,5,8
e87109e9,1,8
ed98d772,4,12
f0afb749,2,8
f2829549,3,12
f76d97a5,2,8
fb791726,2,8
fd02da9e,5,10
fd096ab6,1,6
fe9372f3,2,6
