task_id,average_junctions,is_junction_dominant
00576224,4.0,1
007bbfb7,9.75,1
009d5c81,21.833333333333332,1
00d62c1b,26.833333333333332,1
00dbd492,43.6,1
017c7c7b,5.375,1
025d127b,4.333333333333333,1
03560426,19.125,1
045e512c,22.5,1
0520fde7,1.625,1
05269061,0.0,0
05a7bcf2,302.625,1
05f2a901,13.5,1
0607ce86,150.375,1
0692e18c,6.5,1
06df4c85,289.5,1
070dd51e,0.0,0
08ed6ac7,0.0,0
09629e4f,48.0,1
0962bcdd,9.0,1
09c534e7,317.375,1
0a1d4ef5,235.25,1
0a2355a6,44.2,1
0a938d79,0.0,0
0b148d64,120.125,1
0b17323b,0.0,0
0bb8deee,15.75,1
0becf7df,9.5,1
0c786b71,12.25,1
0c9aba6e,8.9,1
0ca9ddb6,2.5,1
0d3d703e,0.0,0
0d87d2a6,168.125,1
0e206a2e,4.0,1
0e671a1a,2.8,1
0f63c0b9,13.2,1
103eff5b,107.33333333333333,1
10fcaaa3,2.1,1
11852cab,0.25,0
1190bc91,17.125,1
1190e5a7,292.375,1
11dc524f,319.625,1
11e1fe23,0.0,0
12422b43,1.1666666666666667,1
12997ef3,8.5,1
12eac192,8.3,1
13713586,119.75,1
137eaa0f,0.0,0
137f0df0,53.25,1
13f06aa5,302.75,1
140c817e,185.375,1
14754a24,100.9,1
1478ab18,94.125,1
14b8e18c,98.375,1
150deff5,19.125,1
15113be4,184.125,1
15660dd6,144.5,1
15663ba9,15.75,1
15696249,3.2,1
17829a00,404.0,1
178fcbfb,0.0,0
17b80ad2,0.3,0
17b866bd,244.0,1
17cae0c1,23.7,1
18286ef8,229.125,1
182e5d0f,236.375,1
18419cfa,31.75,1
18447a8d,210.5,1
184a9768,232.5,1
195ba7dc,22.3,1
1990f7a8,16.75,1
19bb5feb,92.75,1
1a07d186,4.125,1
1a244afd,311.5,1
1a2e2828,31.5,1
1a6449f1,7.125,1
1acc24af,20.8,1
1b2d62fb,5.333333333333333,1
1b59e163,589.1666666666666,1
1b60fb0c,37.875,1
1b8318e3,18.0,1
1be83260,350.75,1
1bfc4729,4.0,1
1c02dbbe,259.0,1
1c0d0a4b,11.125,1
1c56ad9f,19.7,1
1c786137,29.125,1
1caeab9d,13.5,1
1cf80156,6.0,1
1d0a4b61,249.625,1
1d398264,3.7,1
1d61978c,462.3333333333333,1
1da012fc,138.33333333333334,1
1e0a9b12,0.0,0
1e32b0e9,51.5,1
1e5d6875,162.5,1
1e81d6f9,1.0,1
1efba499,27.25,1
1f0c79e5,19.4,1
1f642eb9,14.125,1
1f85a75f,12.833333333333334,1
1f876c06,0.0,0
1fad071e,12.5,1
2013d3e2,2.0,1
2037f2c7,20.5,1
2072aba6,5.5,1
20818e16,226.125,1
20981f0e,9.75,1
20fb2937,269.0,1
212895b5,19.25,1
21f83797,32.0,1
