task_id,average_squares,is_square_dominant
00576224,0.0,0
007bbfb7,1.75,1
009d5c81,0.0,0
00d62c1b,3.6666666666666665,1
00dbd492,13.2,1
017c7c7b,0.0,0
025d127b,0.0,0
03560426,5.5,1
045e512c,0.0,0
0520fde7,0.0,0
05269061,0.0,0
05a7bcf2,139.125,1
05f2a901,2.75,1
0607ce86,37.5,1
0692e18c,0.5,0
06df4c85,10.5,1
070dd51e,0.0,0
08ed6ac7,0.0,0
09629e4f,10.0,1
0962bcdd,0.0,0
09c534e7,126.125,1
0a1d4ef5,115.25,1
0a2355a6,0.0,0
0a938d79,0.0,0
0b148d64,22.125,1
0b17323b,0.0,0
0bb8deee,0.5,0
0becf7df,1.5,1
0c786b71,1.5,1
0c9aba6e,0.4,0
0ca9ddb6,0.0,0
0d3d703e,0.0,0
0d87d2a6,79.375,1
0e206a2e,0.0,0
0e671a1a,0.3,0
0f63c0b9,1.4,1
103eff5b,49.833333333333336,1
10fcaaa3,0.0,0
11852cab,0.0,0
1190bc91,4.25,1
1190e5a7,183.125,1
11dc524f,332.5,1
11e1fe23,0.0,0
12422b43,0.16666666666666666,0
12997ef3,0.75,0
12eac192,1.0,1
13713586,86.625,1
137eaa0f,0.0,0
137f0df0,11.875,1
13f06aa5,263.875,1
140c817e,145.25,1
14754a24,7.7,1
1478ab18,52.875,1
14b8e18c,28.25,1
150deff5,4.375,1
15113be4,9.375,1
15660dd6,30.333333333333332,1
15663ba9,0.0,0
15696249,0.4,0
17829a00,362.6666666666667,1
178fcbfb,0.0,0
17b80ad2,0.0,0
17b866bd,58.5,1
17cae0c1,7.5,1
18286ef8,113.25,1
182e5d0f,294.5,1
18419cfa,0.25,0
18447a8d,147.25,1
184a9768,85.125,1
195ba7dc,4.3,1
1990f7a8,1.25,1
19bb5feb,54.25,1
1a07d186,0.0,0
1a244afd,269.75,1
1a2e2828,7.416666666666667,1
1a6449f1,0.0,0
1acc24af,1.6,1
1b2d62fb,1.0,1
1b59e163,590.0,1
1b60fb0c,5.75,1
1b8318e3,4.5,1
1be83260,203.75,1
1bfc4729,0.0,0
1c02dbbe,308.875,1
1c0d0a4b,0.25,0
1c56ad9f,1.5,1
1c786137,1.25,1
1caeab9d,3.0,1
1cf80156,0.0,0
1d0a4b61,4.0,1
1d398264,0.0,0
1d61978c,393.0,1
1da012fc,43.333333333333336,1
1e0a9b12,0.0,0
1e32b0e9,4.0,1
1e5d6875,47.5,1
1e81d6f9,0.0,0
1efba499,8.75,1
1f0c79e5,4.1,1
1f642eb9,5.625,1
1f85a75f,1.3333333333333333,1
1f876c06,0.0,0
1fad071e,3.125,1
2013d3e2,0.5,0
2037f2c7,3.375,1
2072aba6,0.0,0
20818e16,151.875,1
20981f0e,1.25,1
20fb2937,110.16666666666667,1
212895b5,5.0,1
21f83797,12.5,1
2204b7a8,0.0,0
22168020,7.375,1
22208ba4,669.9,1
22233c11,3.375,1
22425bda,70.9,1
22806e14,311.375,1
2281f1f4,0.375,0
228f6490,9.0,1
22a4bbc2,11.6,1
22eb0ac0,0.0,0
230f2e48,146.625,1
234bbc79,0.0,0
23581191,0.0,0
239be575,1.0,1
23b5c85d,72.75,1
25094a63,214.33333333333334,1
252143c9,98.66666666666667,1
253bf280,0.0,0
2546ccf6,0.0,0
256b0a75,150.5,1
25c199f5,18.357142857142858,1
25d487eb,2.0,1
25d8a9c8,0.3,0
25e02866,134.0,1
25ff71a9,0.0,0
2601afb7,73.5,1
264363fd,2069.375,1
2685904e,0.35714285714285715,0
2697da3f,0.0,0
272f95fa,63.666666666666664,1
2753e76c,27.75,1
278e5215,6.625,1
27a28665,0.1,0
27a77e38,0.0,0
27f8ce4f,0.0,0
281123b4,1.7142857142857142,1
28bf18c6,0.375,0
28e73c20,0.3333333333333333,0
292dd178,68.25,1
29623171,3.75,1
29700607,0.0,0
29c11459,0.0,0
2a28add5,37.0,1
2a5f8217,0.5,0
2b01abd0,0.375,0
2b9ef948,727.2,1
2bcee788,56.9,1
2bee17df,31.0,1
2c0b0aff,30.4,1
2c608aff,310.5,1
2c737e39,0.375,0
2ccd9fef,70.375,1
2dc579da,46.375,1
2dd70a9a,2.5,1
2de01db2,0.0,0
2dee498d,1.25,1
2e65ae53,38.0,1
2f0c5170,441.875,1
2f767503,68.125,1
2faf500b,42.0,1
305b1341,0.0,0
30f42897,59.75,1
310f3251,0.0,0
3194b014,40.125,1
319f2597,0.625,0
31aa019c,0.0,0
31adaf00,6.0,1
31d5ba1a,0.14285714285714285,0
320afe60,1639.1,1
321b1fc6,1.5,1
32597951,1.75,1
32e9702f,20.0,1
33067df9,394.3,1
332202d5,175.375,1
332efdb3,0.0,0
3345333e,12.166666666666666,1
337b420f,13.833333333333334,1
3391f8c0,0.0,0
33b52de3,0.6666666666666666,0
3428a4f5,1.4166666666666667,1
342ae2ed,258.625,1
342dd610,230.1,1
3490cc26,18.9,1
34b99a2b,0.9,0
34cfa167,1226.375,1
351d6448,4.5,1
358ba94e,20.6,1
3618c87e,0.0,0
363442ee,0.0,0
36d67576,0.0,0
36fdfd69,10.0,1
37ce87bb,47.5,1
37d3e8b2,25.75,1
3906de3d,8.75,1
396d80d7,432.1666666666667,1
3979b1a8,0.0,0
39a8645d,0.625,0
39e1d7f9,65.0,1
3a301edc,48.833333333333336,1
3aa6fb7a,0.0,0
3ac3eb23,0.0,0
3ad05f52,92.75,1
3af2c5a8,1.0,1
3b4c2228,1.7142857142857142,1
3bd292e8,15.0,1
3bd67248,0.0,0
3bdb4ada,38.833333333333336,1
3befdf3e,5.25,1
3c9b0459,0.0,0
3cd86f4f,2.3333333333333335,1
3d31c5b3,2.4285714285714284,1
3d588dc9,286.1666666666667,1
3d6c6e23,0.25,0
3de23699,0.6,0
3e980e27,0.0,0
3eda0437,4.7,1
3ee1011a,0.25,0
3f23242b,0.0,0
3f7978a0,0.0,0
4093f84a,55.625,1
40f6cd08,543.625,1
412b6263,46.5,1
414297c0,91.125,1
41ace6b5,58.75,1
41e4d17e,290.8333333333333,1
423a55dc,0.3333333333333333,0
4258a5f9,0.0,0
4290ef0e,178.375,1
42918530,1.0,1
42a15761,33.0,1
42a50994,0.0,0
42f14c03,136.125,1
42f83767,16.3,1
4347f46a,46.625,1
4364c1c4,216.875,1
444801d8,1.625,1
445eab21,0.5,0
447fd412,13.0,1
44d8ac46,7.0,1
44f52bb0,0.0,0
4522001f,14.0,1
456873bc,34.875,1
45737921,0.5,0
458e3a53,91.0,1
45bbe264,0.0,0
4612dd53,0.0,0
46442a0e,3.875,1
465b7d93,89.5,1
469497ad,132.5,1
46c35fc7,18.0,1
46f33fce,41.0,1
